Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA_50,MA_200,MA_diff,crossover,RSI,MA_20,Std_20,Signal,Stop_Loss,Position_Size,Returns,Strategy_Returns,Returns_10
2000-04-27,1460.989990234375,1469.2099609375,1434.81005859375,1464.9200439453125,1111000000,0.0,0.0,1434.4069946289062,,,0,44.85157945960497,1464.9909912109374,41.16050070851514,0,1391.6740417480469,0.03,0.002689993591473483,-0.002689993591473483,-0.001533564571663204
2000-04-28,1464.9200439453125,1473.6199951171875,1448.1500244140625,1452.4300537109375,984600000,0.0,0.0,1435.7021948242189,,,0,40.89926329554452,1463.2164916992188,40.88405188629191,0,1379.8085510253907,0.03,-0.008526055934586774,-0.0,0.008274877553438031
2000-05-01,1452.4300537109375,1481.510009765625,1452.4300537109375,1468.25,966300000,0.0,0.0,1437.3019946289062,,,0,44.901583329322875,1461.6999938964843,40.05744201640722,1,1394.8374999999999,0.03,0.010892053802276314,0.0,0.0823332079539707
2000-05-02,1468.25,1468.25,1445.219970703125,1446.2900390625,1011500000,0.0,0.0,1439.30599609375,,,0,42.725086867197454,1458.715997314453,38.788851970468976,1,1373.975537109375,0.03,-0.01495655435893073,-0.01495655435893073,0.032002868143779395
2000-05-03,1446.2900390625,1446.2900390625,1398.3599853515625,1415.0999755859375,991600000,0.0,0.0,1440.5645947265625,,,0,42.981902516168226,1454.7344970703125,38.98395701841209,0,1344.3449768066405,0.03,-0.02156556612723426,-0.02156556612723426,-0.018389169078320444
2000-05-04,1415.0999755859375,1420.989990234375,1404.93994140625,1409.5699462890625,925800000,0.0,0.0,1441.5421948242188,,,0,45.577969000195054,1450.8444946289062,39.43505502126662,0,1339.0914489746094,0.03,-0.0039078718057253825,-0.0,-0.012539685444482918
2000-05-05,1409.5699462890625,1436.030029296875,1405.0799560546875,1432.6300048828125,805500000,0.0,0.0,1443.1261938476562,,,0,63.16316438952819,1447.4089965820312,37.76190632407976,0,1360.9985046386719,0.03,0.016359641218557153,0.0,-0.001331461045127602
2000-05-08,1432.6300048828125,1432.6300048828125,1417.050048828125,1424.1700439453125,787600000,0.0,0.0,1444.9423950195312,,,0,54.50047299619524,1442.8,34.37839220323838,0,1352.9615417480468,0.03,-0.005905195974303279,-0.0,-0.003979369633769436
2000-05-09,1424.1700439453125,1430.280029296875,1401.8499755859375,1412.1400146484375,896600000,0.0,0.0,1446.2241943359375,,,0,43.433318608816,1438.1840026855468,31.76189247138872,-1,1341.5330139160155,0.03,-0.0084470455954464,-0.0,-0.044198024520481716
2000-05-10,1412.1400146484375,1412.1400146484375,1375.1400146484375,1383.050048828125,1006400000,0.0,0.0,1446.5567944335937,,,0,40.72033392598667,1432.3070068359375,30.454457354829252,-1,1313.8975463867187,0.03,-0.020599916097947757,0.020599916097947757,-0.05334734798131413
